세그먼트,AnyAccepted,n,반응률,건당기대이익,세그먼트총기대이익
고소득청년층,1,161,0.4782608695652174,2.2608695652173916,364.00000000000006
고소득청년층,0,262,0.09923664122137404,-1.9083969465648856,-500.0
저소득청년층,1,64,0.453125,1.984375,127.0
저소득청년층,0,553,0.081374321880651,-2.1048824593128392,-1164.0
장년안정고객,1,152,0.3618421052631579,0.9802631578947372,149.00000000000006
장년안정고객,0,422,0.08293838862559241,-2.0876777251184837,-881.0000000000001
다자녀중장년층,1,46,0.30434782608695654,0.34782608695652195,16.00000000000001
다자녀중장년층,0,376,0.0851063829787234,-2.0638297872340425,-776.0
